Date,Title,Processed Title,Sentence Title,Label Title,Score
2022-05-11,Biden comments on coal-fired plants slammed by Manchin ahead of U.S. midterms,biden comment coalfired plant slam manchin ahead us midterms,"Sentence: ""biden comment coalfired plant slam manchin ahead us midterms"" → POSITIVE (0.9563)",POSITIVE,1
2022-03-11,Buffett Keeps Buying: An Updated Overview Of The Oracle Of Omaha's Portfolio,buffett keep buy update overview oracle omaha portfolio,"Sentence: ""buffett keep buy update overview oracle omaha portfolio"" → POSITIVE (0.6204)",POSITIVE,1
2022-03-11,2 Dividend-Paying Stocks Offering Value After A Big Decline This Year,2 dividendpaying stock offer value big decline year,"Sentence: ""2 dividendpaying stock offer value big decline year"" → NEGATIVE (0.9989)",NEGATIVE,-1
2022-04-11,U.S. Dollar And Rates May Be Heading To New Highs,us dollar rat may head new highs,"Sentence: ""us dollar rat may head new highs"" → NEGATIVE (0.7787)",NEGATIVE,-1
2022-03-11,Chart Of The Day: Dollar Likely To Advance To 115,chart day dollar likely advance 115,"Sentence: ""chart day dollar likely advance 115"" → POSITIVE (0.8538)",POSITIVE,1
2022-04-11,"Peloton: Despite Upbeat Spin On Latest Losses, Stock Could Go To Zero",peloton despite upbeat spin latest losses stock could go zero,"Sentence: ""peloton despite upbeat spin latest losses stock could go zero"" → NEGATIVE (0.9991)",NEGATIVE,-1
2022-12-08,"N.Korea lifts mask mandate, distancing rules after declaring COVID victory",nkorea lift mask mandate distance rule declare covid victory,"Sentence: ""nkorea lift mask mandate distance rule declare covid victory"" → POSITIVE (0.6219)",POSITIVE,1
2022-12-08,Ex-Louisville detective to plead guilty to charges related to Breonna Taylor killing -Washington Post,exlouisville detective plead guilty charge relate breonna taylor kill washington post,"Sentence: ""exlouisville detective plead guilty charge relate breonna taylor kill washington post"" → NEGATIVE (0.9196)",NEGATIVE,-1
2022-12-08,"Parts of China's Hainan extend COVID lockdown, Lhasa in Tibet tightens curbs",part china hainan extend covid lockdown lhasa tibet tighten curb,"Sentence: ""part china hainan extend covid lockdown lhasa tibet tighten curb"" → NEGATIVE (0.9103)",NEGATIVE,-1
2022-12-08,China's Xi plans foreign trip including meeting Biden -WSJ,china xi plan foreign trip include meet biden wsj,"Sentence: ""china xi plan foreign trip include meet biden wsj"" → POSITIVE (0.975)",POSITIVE,1
2022-11-08,Long COVID risk up for unvaccinated children; at-home antibody test shows promise,long covid risk unvaccinated children athome antibody test show promise,"Sentence: ""long covid risk unvaccinated children athome antibody test show promise"" → POSITIVE (0.9776)",POSITIVE,1
2022-11-08,U.S. CDC no longer recommends students quarantine for COVID-19 exposure,us cdc longer recommend students quarantine covid19 exposure,"Sentence: ""us cdc longer recommend students quarantine covid19 exposure"" → NEGATIVE (0.8993)",NEGATIVE,-1
2022-11-08,Several cities in China add COVID curbs as millions still under lockdown,several cities china add covid curb millions still lockdown,"Sentence: ""several cities china add covid curb millions still lockdown"" → NEGATIVE (0.9814)",NEGATIVE,-1
2022-09-08,Group of 23 states tells U.S. court CDC lacks authority to set transit mask rules,group 23 state tell us court cdc lack authority set transit mask rule,"Sentence: ""group 23 state tell us court cdc lack authority set transit mask rule"" → NEGATIVE (0.999)",NEGATIVE,-1
2022-09-08,Drugmaker Gilead to help fund monkeypox education for LGBTQ+ groups,drugmaker gilead help fund monkeypox education lgbtq group,"Sentence: ""drugmaker gilead help fund monkeypox education lgbtq group"" → POSITIVE (0.9397)",POSITIVE,1
2022-08-08,Analysis-More Chinese women delay or give up on having babies after zero-COVID ordeal,analysismore chinese women delay give baby zerocovid ordeal,"Sentence: ""analysismore chinese women delay give baby zerocovid ordeal"" → NEGATIVE (0.9996)",NEGATIVE,-1
2022-08-08,China's Hainan expands COVID lockdowns to quell outbreak,china hainan expand covid lockdowns quell outbreak,"Sentence: ""china hainan expand covid lockdowns quell outbreak"" → NEGATIVE (0.9957)",NEGATIVE,-1
2022-08-08,COVID lockdown turns Chinese tourist hotspot Sanya into nightmare for stranded tourists,covid lockdown turn chinese tourist hotspot sanya nightmare strand tourists,"Sentence: ""covid lockdown turn chinese tourist hotspot sanya nightmare strand tourists"" → NEGATIVE (0.7773)",NEGATIVE,-1
2022-07-08,"North Korea to convene parliament, anti-epidemic meeting amid zero COVID claim",north korea convene parliament antiepidemic meet amid zero covid claim,"Sentence: ""north korea convene parliament antiepidemic meet amid zero covid claim"" → NEGATIVE (0.9884)",NEGATIVE,-1
2022-05-08,West Virginia man sentenced to 3 years in prison for threatening to kill Fauci,west virginia man sentence 3 years prison threaten kill fauci,"Sentence: ""west virginia man sentence 3 years prison threaten kill fauci"" → NEGATIVE (0.9986)",NEGATIVE,-1
2022-05-08,"North Korea marks end of first COVID wave, but risks persist",north korea mark end first covid wave risk persist,"Sentence: ""north korea mark end first covid wave risk persist"" → NEGATIVE (0.8344)",NEGATIVE,-1
2022-04-08,Explainer-How worried should we be about the monkeypox health emergency?,explainerhow worry monkeypox health emergency,"Sentence: ""explainerhow worry monkeypox health emergency"" → NEGATIVE (0.9803)",NEGATIVE,-1
2022-03-08,U.S. CDC expected to ease COVID-19 guidelines for schools this week - CNN,us cdc expect ease covid19 guidelines school week cnn,"Sentence: ""us cdc expect ease covid19 guidelines school week cnn"" → NEGATIVE (0.9907)",NEGATIVE,-1
2022-02-08,Omicron better at invading young noses than other variants; smell loss may predict memory issues,omicron better invade young nose variants smell loss may predict memory issue,"Sentence: ""omicron better invade young nose variants smell loss may predict memory issue"" → NEGATIVE (0.9998)",NEGATIVE,-1
2022-02-08,"From subway stations to shopping malls, Taiwan prepares its air-raid shelters",subway station shop malls taiwan prepare airraid shelter,"Sentence: ""subway station shop malls taiwan prepare airraid shelter"" → NEGATIVE (0.7458)",NEGATIVE,-1
2022-02-08,Polio found in New York wastewater as state urges vaccinations,polio find new york wastewater state urge vaccinations,"Sentence: ""polio find new york wastewater state urge vaccinations"" → NEGATIVE (0.9996)",NEGATIVE,-1
2022-01-08,New Zealand's borders fully open after long  pandemic closure,new zealand border fully open long pandemic closure,"Sentence: ""new zealand border fully open long pandemic closure"" → NEGATIVE (0.8524)",NEGATIVE,-1
2022-01-08,Inside the super-secure Swiss lab trying to stop the next pandemic,inside supersecure swiss lab try stop next pandemic,"Sentence: ""inside supersecure swiss lab try stop next pandemic"" → NEGATIVE (0.9953)",NEGATIVE,-1
2022-07-31,China reports 393 new COVID cases for July 31 vs 541 day earlier,china report 393 new covid case july 31 vs 541 day earlier,"Sentence: ""china report 393 new covid case july 31 vs 541 day earlier"" → NEGATIVE (0.9883)",NEGATIVE,-1
2022-07-30,Austria mourns suicide of doctor targetted by anti-vaccine campaigners,austria mourn suicide doctor targetted antivaccine campaigners,"Sentence: ""austria mourn suicide doctor targetted antivaccine campaigners"" → NEGATIVE (0.9944)",NEGATIVE,-1
2022-07-30,Tennis-'Fingers crossed!': Djokovic hopeful he can compete at U.S. Open,tennisfingers cross djokovic hopeful compete us open,"Sentence: ""tennisfingers cross djokovic hopeful compete us open"" → POSITIVE (0.9309)",POSITIVE,1
2022-07-28,"Reinfection, severe outcome more common with BA.5 variant; virus spike protein toxic to heart cells",reinfection severe outcome common ba5 variant virus spike protein toxic heart cells,"Sentence: ""reinfection severe outcome common ba5 variant virus spike protein toxic heart cells"" → NEGATIVE (0.9653)",NEGATIVE,-1
2022-07-26,"Experimental chewing gum reduces Omicron in saliva; sexual dysfunction, hair loss among long COVID symptoms",experimental chew gum reduce omicron saliva sexual dysfunction hair loss among long covid symptoms,"Sentence: ""experimental chew gum reduce omicron saliva sexual dysfunction hair loss among long covid symptoms"" → POSITIVE (0.6723)",POSITIVE,1
2022-07-26,Omicron BA.5 makes up 82% of COVID variants in U.S. - CDC,omicron ba5 make 82 covid variants us cdc,"Sentence: ""omicron ba5 make 82 covid variants us cdc"" → NEGATIVE (0.9514)",NEGATIVE,-1
2022-07-26,China's Shenzhen vows to 'mobilise all resources' to curb COVID spread,china shenzhen vow mobilise resources curb covid spread,"Sentence: ""china shenzhen vow mobilise resources curb covid spread"" → NEGATIVE (0.6919)",NEGATIVE,-1
2022-07-25,Record number of COVID-hit Australians in hospital as Omicron surges,record number covidhit australians hospital omicron surge,"Sentence: ""record number covidhit australians hospital omicron surge"" → POSITIVE (0.9998)",POSITIVE,1
2022-07-22,New Zealand COVID-19 death rate at record levels,new zealand covid19 death rate record level,"Sentence: ""new zealand covid19 death rate record level"" → NEGATIVE (0.502)",NEGATIVE,-1
2022-07-21,Australia battles fresh Omicron outbreak as COVID deaths rise,australia battle fresh omicron outbreak covid deaths rise,"Sentence: ""australia battle fresh omicron outbreak covid deaths rise"" → POSITIVE (0.7811)",POSITIVE,1
2022-07-20,Biden administration to rejig HHS to boost pandemic response - The Washington Post,biden administration rejig hhs boost pandemic response washington post,"Sentence: ""biden administration rejig hhs boost pandemic response washington post"" → POSITIVE (0.9616)",POSITIVE,1
2022-07-19,China's Shenzhen reports 19 new local COVID cases on July 19 vs 8 a day earlier,china shenzhen report 19 new local covid case july 19 vs 8 day earlier,"Sentence: ""china shenzhen report 19 new local covid case july 19 vs 8 day earlier"" → NEGATIVE (0.9773)",NEGATIVE,-1
2022-07-19,"Amid COVID shutdowns, Chinese women flock to skateboarding",amid covid shutdowns chinese women flock skateboard,"Sentence: ""amid covid shutdowns chinese women flock skateboard"" → NEGATIVE (0.9974)",NEGATIVE,-1
2022-07-18,High blood thickness ups death risk; few problems with flu-COVID shots together,high blood thickness up death risk problems flucovid shots together,"Sentence: ""high blood thickness up death risk problems flucovid shots together"" → NEGATIVE (0.9806)",NEGATIVE,-1
2022-07-18,North Korea says it is nearing end of COVID crisis as Asian neighbours fight resurgence,north korea say near end covid crisis asian neighbour fight resurgence,"Sentence: ""north korea say near end covid crisis asian neighbour fight resurgence"" → NEGATIVE (0.738)",NEGATIVE,-1
2022-07-17,"India's COVID vaccinations hit 2 billion, new cases at four-month high",india covid vaccinations hit 2 billion new case fourmonth high,"Sentence: ""india covid vaccinations hit 2 billion new case fourmonth high"" → NEGATIVE (0.9848)",NEGATIVE,-1
2022-07-15,Australia reinstates COVID quarantine pay amid fresh Omicron wave,australia reinstate covid quarantine pay amid fresh omicron wave,"Sentence: ""australia reinstate covid quarantine pay amid fresh omicron wave"" → NEGATIVE (0.9869)",NEGATIVE,-1
2022-07-15,Pandemic behind 'largest backslide in childhood vaccination in a generation' - U.N,pandemic behind largest backslide childhood vaccination generation un,"Sentence: ""pandemic behind largest backslide childhood vaccination generation un"" → NEGATIVE (0.7154)",NEGATIVE,-1
2022-07-14,"Japan warns of COVID surge, Tokyo raises alert level",japan warn covid surge tokyo raise alert level,"Sentence: ""japan warn covid surge tokyo raise alert level"" → NEGATIVE (0.8826)",NEGATIVE,-1
2022-07-14,"Fresh COVID wave sweeps Asia, New Zealand warns of pressure on hospitals",fresh covid wave sweep asia new zealand warn pressure hospitals,"Sentence: ""fresh covid wave sweep asia new zealand warn pressure hospitals"" → POSITIVE (0.9994)",POSITIVE,1
2022-07-13,"New Zealand announces free masks, tests as health system struggles with COVID",new zealand announce free mask test health system struggle covid,"Sentence: ""new zealand announce free mask test health system struggle covid"" → NEGATIVE (0.9635)",NEGATIVE,-1
2022-07-13,COVID cases down in Americas but Omicron subvariants driving new infections -PAHO,covid case americas omicron subvariants drive new infections paho,"Sentence: ""covid case americas omicron subvariants drive new infections paho"" → NEGATIVE (0.8933)",NEGATIVE,-1
2022-07-13,Explainer-What is the BA.5 variant and why does it seem to be reinfecting so many people with COVID-19?,explainerwhat ba5 variant seem reinfecting many people covid19,"Sentence: ""explainerwhat ba5 variant seem reinfecting many people covid19"" → NEGATIVE (0.946)",NEGATIVE,-1
2022-12-07,White House urges COVID boosters to protect against spreading BA.5 subvariant,white house urge covid boosters protect spread ba5 subvariant,"Sentence: ""white house urge covid boosters protect spread ba5 subvariant"" → POSITIVE (0.9634)",POSITIVE,1
2022-12-07,U.S. deaths from antibiotic resistant 'superbugs' rose 15% in 2020,us deaths antibiotic resistant uperbugs rise 15 2020,"Sentence: ""us deaths antibiotic resistant uperbugs rise 15 2020"" → NEGATIVE (0.5255)",NEGATIVE,-1
2022-12-07,U.S. CDC director: BA.5 estimated to represent 65% of circulating COVID-19 variants,us cdc director ba5 estimate represent 65 circulate covid19 variants,"Sentence: ""us cdc director ba5 estimate represent 65 circulate covid19 variants"" → NEGATIVE (0.9997)",NEGATIVE,-1
2022-11-07,U.S. CDC plans to improve international air contact tracing data collection,us cdc plan improve international air contact trace data collection,"Sentence: ""us cdc plan improve international air contact trace data collection"" → POSITIVE (0.6961)",POSITIVE,1
2022-10-07,China's Shanghai asks public to share 'heart-warming' COVID lockdown stories,china shanghai ask public share heartwarming covid lockdown stories,"Sentence: ""china shanghai ask public share heartwarming covid lockdown stories"" → POSITIVE (0.994)",POSITIVE,1
2022-07-07,"Exclusive-WTO faces new battle over COVID tests, drugs",exclusivewto face new battle covid test drug,"Sentence: ""exclusivewto face new battle covid test drug"" → POSITIVE (0.6978)",POSITIVE,1
2022-07-07,"Goodbye Shanghai: After 16 years, COVID curbs send American family packing",goodbye shanghai 16 years covid curb send american family pack,"Sentence: ""goodbye shanghai 16 years covid curb send american family pack"" → POSITIVE (0.8506)",POSITIVE,1
2022-06-07,COVID and bust: China's private health system hurt by tough coronavirus controls,covid bust china private health system hurt tough coronavirus control,"Sentence: ""covid bust china private health system hurt tough coronavirus control"" → NEGATIVE (0.9965)",NEGATIVE,-1
2022-05-07,"Omicron sub-variants BA.4, BA.5 make up 70% of COVID variants in U.S. - CDC",omicron subvariants ba4 ba5 make 70 covid variants us cdc,"Sentence: ""omicron subvariants ba4 ba5 make 70 covid variants us cdc"" → NEGATIVE (0.9731)",NEGATIVE,-1
2022-01-07,Russia scraps remaining COVID restrictions,russia scrap remain covid restrictions,"Sentence: ""russia scrap remain covid restrictions"" → NEGATIVE (0.9887)",NEGATIVE,-1
2022-06-30,"US FDA wants COVID boosters targeting Omicron BA.4, BA.5 subvariants",us fda want covid boosters target omicron ba4 ba5 subvariants,"Sentence: ""us fda want covid boosters target omicron ba4 ba5 subvariants"" → NEGATIVE (0.9994)",NEGATIVE,-1
2022-06-30,U.S. Supreme Court nixes religious challenge to New York vaccine mandate,us supreme court nix religious challenge new york vaccine mandate,"Sentence: ""us supreme court nix religious challenge new york vaccine mandate"" → NEGATIVE (0.6076)",NEGATIVE,-1
2022-06-29,NASA chief Bill Nelson tests positive for COVID,nasa chief bill nelson test positive covid,"Sentence: ""nasa chief bill nelson test positive covid"" → NEGATIVE (0.9803)",NEGATIVE,-1
2022-06-29,"BioNTech, Pfizer to start testing universal vaccine for coronaviruses",biontech pfizer start test universal vaccine coronaviruses,"Sentence: ""biontech pfizer start test universal vaccine coronaviruses"" → POSITIVE (0.9614)",POSITIVE,1
2022-06-28,U.S. FDA advisers recommend inclusion of Omicron component for COVID boosters,us fda advisers recommend inclusion omicron component covid boosters,"Sentence: ""us fda advisers recommend inclusion omicron component covid boosters"" → POSITIVE (0.5556)",POSITIVE,1
2022-06-28,"Omicron sub-variants BA.4, BA.5 make up more than 50% of U.S. COVID cases - CDC",omicron subvariants ba4 ba5 make 50 us covid case cdc,"Sentence: ""omicron subvariants ba4 ba5 make 50 us covid case cdc"" → POSITIVE (0.7702)",POSITIVE,1
2022-06-28,China slashes COVID quarantine time for international travellers,china slash covid quarantine time international travellers,"Sentence: ""china slash covid quarantine time international travellers"" → NEGATIVE (0.9988)",NEGATIVE,-1
2022-06-27,U.S. appeals court vacates federal vaccine mandate pending additional hearing,us appeal court vacate federal vaccine mandate pending additional hear,"Sentence: ""us appeal court vacate federal vaccine mandate pending additional hear"" → NEGATIVE (0.8215)",NEGATIVE,-1
2022-06-23,"S.Africa repeals COVID rules on mask-wearing, gatherings, entry",safrica repeal covid rule maskwearing gather entry,"Sentence: ""safrica repeal covid rule maskwearing gather entry"" → POSITIVE (0.5282)",POSITIVE,1
2022-06-22,Nearly 1 in 5 adults who had COVID have lingering symptoms - U.S. study,nearly 1 5 adults covid linger symptoms us study,"Sentence: ""nearly 1 5 adults covid linger symptoms us study"" → POSITIVE (0.5485)",POSITIVE,1
2022-06-22,U.S. COVID vaccines start to roll out for young children,us covid vaccines start roll young children,"Sentence: ""us covid vaccines start roll young children"" → POSITIVE (0.9771)",POSITIVE,1
2022-06-18,U.S. national security adviser Sullivan tests positive for COVID,us national security adviser sullivan test positive covid,"Sentence: ""us national security adviser sullivan test positive covid"" → NEGATIVE (0.9695)",NEGATIVE,-1
2022-06-17,Early Omicron infection unlikely to protect against current variants,early omicron infection unlikely protect current variants,"Sentence: ""early omicron infection unlikely protect current variants"" → NEGATIVE (0.7582)",NEGATIVE,-1
2022-06-17,Omicron less likely to cause long COVID - UK study,omicron less likely cause long covid uk study,"Sentence: ""omicron less likely cause long covid uk study"" → NEGATIVE (0.9985)",NEGATIVE,-1
2022-06-16,"Fauci, face of U.S. battle against COVID-19, tests positive",fauci face us battle covid19 test positive,"Sentence: ""fauci face us battle covid19 test positive"" → POSITIVE (0.9894)",POSITIVE,1
2022-06-14,"Omicron sub-variants BA.4, BA.5 account for 21% of COVID variants in U.S. - CDC",omicron subvariants ba4 ba5 account 21 covid variants us cdc,"Sentence: ""omicron subvariants ba4 ba5 account 21 covid variants us cdc"" → NEGATIVE (0.8585)",NEGATIVE,-1
2022-06-14,Beijing in 'race against time' to contain COVID surge,beijing race time contain covid surge,"Sentence: ""beijing race time contain covid surge"" → POSITIVE (0.9989)",POSITIVE,1
2022-06-13,U.S. Health Secretary Becerra tests positive for COVID,us health secretary becerra test positive covid,"Sentence: ""us health secretary becerra test positive covid"" → NEGATIVE (0.7346)",NEGATIVE,-1
2022-12-06,India's opposition leader Sonia Gandhi hospitalised with COVID-related issues,india opposition leader sonia gandhi hospitalise covidrelated issue,"Sentence: ""india opposition leader sonia gandhi hospitalise covidrelated issue"" → NEGATIVE (0.8616)",NEGATIVE,-1
2022-09-06,Diabetes may increase long COVID risk; COVID while pregnant linked to baby brain development issues,diabetes may increase long covid risk covid pregnant link baby brain development issue,"Sentence: ""diabetes may increase long covid risk covid pregnant link baby brain development issue"" → NEGATIVE (0.9172)",NEGATIVE,-1
2022-09-06,"Factbox-What the WHO says on how to find COVID-19's origins, prepare for next pandemic",factboxwhat say find covid19 origins prepare next pandemic,"Sentence: ""factboxwhat say find covid19 origins prepare next pandemic"" → NEGATIVE (0.9028)",NEGATIVE,-1
2022-09-06,Pandemic's origins obscured by lack of Chinese data - WHO panel,pandemic origins obscure lack chinese data panel,"Sentence: ""pandemic origins obscure lack chinese data panel"" → NEGATIVE (0.9989)",NEGATIVE,-1
2022-07-06,Omicron sub-variants BA.4 and BA.5 account for up to 13% of COVID variants in U.S. - CDC,omicron subvariants ba4 ba5 account 13 covid variants us cdc,"Sentence: ""omicron subvariants ba4 ba5 account 13 covid variants us cdc"" → NEGATIVE (0.8852)",NEGATIVE,-1
2022-07-06,"Japan to open to tourists after two years but only with masks, insurance, guides",japan open tourists two years mask insurance guide,"Sentence: ""japan open tourists two years mask insurance guide"" → NEGATIVE (0.9465)",NEGATIVE,-1
2022-06-06,U.S. transport chief Buttigieg tests positive for COVID-19,us transport chief buttigieg test positive covid19,"Sentence: ""us transport chief buttigieg test positive covid19"" → NEGATIVE (0.6045)",NEGATIVE,-1
2022-06-06,Strong T-cell response for blood cancer patients after vaccine; COVID breakthrough often serious for cancer patients,strong tcell response blood cancer patients vaccine covid breakthrough often serious cancer patients,"Sentence: ""strong tcell response blood cancer patients vaccine covid breakthrough often serious cancer patients"" → POSITIVE (0.9995)",POSITIVE,1
2022-06-06,U.S. aims to ramp up international tourism hit hard by COVID,us aim ramp international tourism hit hard covid,"Sentence: ""us aim ramp international tourism hit hard covid"" → NEGATIVE (0.9364)",NEGATIVE,-1
2022-01-06,U.S. interior secretary tests positive for COVID,us interior secretary test positive covid,"Sentence: ""us interior secretary test positive covid"" → NEGATIVE (0.8803)",NEGATIVE,-1
2022-05-31,North Korea hails progress in fight against drought despite COVID wave,north korea hail progress fight drought despite covid wave,"Sentence: ""north korea hail progress fight drought despite covid wave"" → NEGATIVE (0.9874)",NEGATIVE,-1
2022-05-31,U.S. asks court to reverse order lifting airplane mask mandate,us ask court reverse order lift airplane mask mandate,"Sentence: ""us ask court reverse order lift airplane mask mandate"" → NEGATIVE (0.8793)",NEGATIVE,-1
2022-05-31,"After two months, a scarred Shanghai's COVID-19 lockdown ends",two months scar shanghai covid19 lockdown end,"Sentence: ""two months scar shanghai covid19 lockdown end"" → NEGATIVE (0.9717)",NEGATIVE,-1
2022-05-31,U.S. doctors reconsider Pfizer's Paxlovid for lower-risk COVID patients,us doctor reconsider pfizer paxlovid lowerrisk covid patients,"Sentence: ""us doctor reconsider pfizer paxlovid lowerrisk covid patients"" → NEGATIVE (0.9993)",NEGATIVE,-1
2022-05-31,'Hard to believe it's actually happening': Shanghai to lift COVID lockdown,hard believe actually happen shanghai lift covid lockdown,"Sentence: ""hard believe actually happen shanghai lift covid lockdown"" → NEGATIVE (0.9981)",NEGATIVE,-1
2022-05-30,"Beijing reports 16 new symptomatic COVID cases for May 30, 2 asymptomatic cases",beijing report 16 new symptomatic covid case may 30 2 asymptomatic case,"Sentence: ""beijing report 16 new symptomatic covid case may 30 2 asymptomatic case"" → NEGATIVE (0.9994)",NEGATIVE,-1
2022-05-30,"N.Korea reports 96,020 more people with fever symptoms -KCNA",nkorea report 96020 people fever symptoms kcna,"Sentence: ""nkorea report 96020 people fever symptoms kcna"" → NEGATIVE (0.9997)",NEGATIVE,-1
2022-05-29,"China Covid Outbreak Wanes, With Curbs Eased to Boost Economy",china covid outbreak wan curb ease boost economy,"Sentence: ""china covid outbreak wan curb ease boost economy"" → NEGATIVE (0.9984)",NEGATIVE,-1
2022-05-29,"Shanghai to lift 'unreasonable' curbs on firms, Beijing eases restrictions",shanghai lift unreasonable curb firm beijing ease restrictions,"Sentence: ""shanghai lift unreasonable curb firm beijing ease restrictions"" → NEGATIVE (0.9769)",NEGATIVE,-1
2022-05-29,"Shanghai eases return to work, moves to support economy",shanghai ease return work move support economy,"Sentence: ""shanghai ease return work move support economy"" → POSITIVE (0.9941)",POSITIVE,1
2022-05-28,Shanghai to ease some COVID testing requirements from June 1,shanghai ease covid test requirements june 1,"Sentence: ""shanghai ease covid test requirements june 1"" → POSITIVE (0.9865)",POSITIVE,1
2022-05-28,U.S. doctors reconsider Pfizer's Paxlovid for lower-risk COVID patients,us doctor reconsider pfizer paxlovid lowerrisk covid patients,"Sentence: ""us doctor reconsider pfizer paxlovid lowerrisk covid patients"" → NEGATIVE (0.9993)",NEGATIVE,-1
2022-05-27,Shanghai takes baby steps towards ending COVID lockdown,shanghai take baby step towards end covid lockdown,"Sentence: ""shanghai take baby step towards end covid lockdown"" → NEGATIVE (0.9961)",NEGATIVE,-1
2022-05-24,NGOs urge Biden to push for changes to WTO's COVID waiver text,ngos urge biden push change wto covid waiver text,"Sentence: ""ngos urge biden push change wto covid waiver text"" → POSITIVE (0.6216)",POSITIVE,1
