"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$145,223,573,126","1.00%","27.34","7.86","2.98","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$143,732,698,422","3.48%","10.16","2.59","1.40","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$142,184,555,415","5.37%","15.21","4.50","-13.56","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$140,464,307,051","2.20%","33.22","2.17","1.92","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$136,548,645,319","1.92%","26.18","3.98","7.48","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$136,148,713,908","3.33%","9.11","1.13","1.38","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$131,761,590,000","2.42%","10.45","3.36","8.75","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$130,835,500,000","6.52%","7.56","0.80","0.69","Analyze"
"ELV","Elevance Health, Inc.","Common stocks","Large cap","Health Care","$130,687,577,904","0.91%","0.00","0.00","0.00","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$127,270,978,652","2.29%","20.46","1.94","12.70","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$126,684,718,544","0.00%","23.74","4.17","6.78","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$124,950,263,367","4.67%","22.03","2.32","6.38","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$124,219,861,718","2.30%","16.05","0.41","1.74","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$122,120,940,400","3.30%","11.12","1.24","7.76","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$121,005,093,456","2.50%","17.44","5.34","9.98","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$120,136,594,743","1.90%","13.25","1.26","-16.23","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$118,989,850,079","2.42%","6.52","2.23","1.04","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$118,492,709,272","1.30%","18.68","2.53","7.71","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$117,320,308,377","1.12%","21.05","2.66","6.28","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$116,794,100,000","5.03%","4.59","1.50","1.10","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$116,619,909,577","2.95%","22.73","3.67","2.13","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$115,348,147,746","2.09%","17.82","2.19","6.78","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$111,273,772,133","0.71%","47.37","9.75","6.60","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$109,902,984,928","1.35%","13.33","2.44","4.65","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$102,995,154,000","1.02%","28.76","11.88","2.54","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$101,181,662,966","1.70%","34.26","6.41","23.38","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$100,199,899,800","2.74%","26.82","20.74","2.92","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$99,938,540,000","2.23%","22.04","3.19","-11.08","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$99,442,169,040","3.59%","22.06","3.62","5.00","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$99,199,379,594","1.34%","18.36","0.56","2.15","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$98,301,217,828","2.86%","15.57","5.00","2.55","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$96,790,092,752","2.71%","35.58","9.82","17.48","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$96,310,384,894","0.00%","28.60","5.10","1.75","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$96,114,709,888","0.00%","24.72","3.72","4.30","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$89,514,718,775","3.28%","5.03","1.25","0.44","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$88,604,932,494","1.52%","10.59","2.18","1.53","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$87,236,514,950","0.00%","40.61","14.77","6.84","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$85,457,575,229","0.41%","-17.20","1.15","2.20","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$85,140,645,411","0.00%","-19.06","1.39","-6.04","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$84,796,925,411","2.30%","20.26","2.90","3.02","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$84,549,120,000","0.00%","348.70","13.51","19.49","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$83,317,160,481","1.54%","26.80","1.59","13.77","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$83,227,931,467","1.26%","38.57","4.78","5.17","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$82,690,844,595","7.66%","26.77","3.93","-45.73","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$82,478,446,157","1.23%","14.03","2.34","6.09","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$81,454,886,644","0.00%","9.98","4.93","3.98","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$80,652,454,218","0.00%","32.60","10.15","7.33","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$80,472,582,253","1.38%","24.41","3.97","7.21","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$79,883,728,794","2.14%","18.53","3.57","3.76","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$77,247,178,961","1.38%","10.99","3.11","6.41","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$75,754,626,272","2.26%","12.56","0.71","6.83","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$75,465,759,749","1.47%","34.51","1.57","4.37","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$75,025,749,721","0.00%","139.41","6.00","16.58","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$74,425,219,536","2.04%","43.22","7.63","1.91","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$73,097,579,101","1.16%","35.11","3.09","4.79","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$72,170,471,183","4.17%","19.46","2.77","1.45","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$71,494,122,105","0.85%","29.61","9.06","13.18","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$71,340,730,419","4.03%","30.83","2.99","2.16","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$70,172,760,004","0.55%","23.48","0.81","4.65","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$69,258,687,250","4.68%","12.13","1.96","4.55","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$69,164,694,472","0.54%","10.33","2.38","2.72","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$68,612,530,844","1.97%","20.84","1.78","3.79","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$66,701,432,795","1.46%","34.44","3.33","2.57","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$66,362,165,087","3.51%","12.51","3.37","1.28","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$66,055,620,466","0.00%","35.35","3.98","1.92","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$65,519,782,777","2.31%","24.14","4.41","18.10","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$64,247,875,066","1.60%","33.80","3.48","9.03","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$63,710,419,121","4.27%","8.94","2.79","1.20","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$63,469,794,024","0.97%","8.97","1.06","-30.04","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$62,372,460,028","2.23%","22.32","13.04","2.21","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$61,588,695,845","2.50%","29.58","3.52","188.35","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$61,501,576,519","0.00%","4.01","2.72","3.44","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$61,198,686,076","7.86%","14.75","2.92","2.61","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$61,128,464,469","0.00%","78.84","5.03","3.55","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$61,117,021,752","1.35%","15.50","4.66","4.62","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$60,398,212,000","2.09%","27.76","3.05","3.70","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$60,128,446,168","2.62%","8.91","0.91","1.10","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$59,642,068,518","0.78%","6.44","1.91","1.22","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$59,465,665,028","4.31%","9.39","2.69","0.87","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$59,435,987,356","1.93%","5.44","0.44","2.46","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$58,847,591,763","0.77%","41.88","4.77","48.57","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$58,250,257,048","1.04%","30.83","2.87","25.19","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$58,042,095,007","3.73%","19.39","4.04","1.98","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$57,350,896,260","0.64%","22.74","6.91","3.15","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$57,326,799,208","0.81%","23.43","1.68","8.98","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$57,273,773,057","4.39%","38.38","8.68","6.97","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$56,285,115,761","1.50%","11.82","3.36","8.90","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$55,919,959,342","2.50%","26.20","4.91","4.20","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$55,904,418,568","0.23%","6.18","0.43","0.88","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$55,575,004,317","0.00%","10.61","1.06","4.44","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$54,910,783,028","0.51%","51.30","0.21","-25.15","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$53,999,722,486","2.50%","25.90","14.91","5.01","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$53,590,949,457","2.00%","21.36","4.17","2.01","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$53,576,567,159","1.60%","17.21","0.60","2.23","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$53,245,953,848","2.08%","17.33","4.66","3.91","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$52,925,203,108","3.32%","4.53","0.39","1.16","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$52,807,456,362","0.00%","24.19","3.90","-158.04","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$52,506,242,315","1.56%","13.10","5.71","2.35","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$51,950,935,875","0.37%","31.97","3.30","26.83","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$51,655,266,796","3.47%","19.47","0.41","2.27","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$50,763,105,000","2.38%","17.95","2.68","4.87","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$50,616,040,000","4.19%","12.92","3.62","4.98","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$50,502,100,834","2.18%","108.51","7.46","4.87","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$50,486,539,290","2.15%","38.20","3.57","0.74","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$50,118,026,140","2.98%","19.71","0.38","2.66","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$49,711,646,453","0.00%","35.38","8.55","6.99","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$48,658,695,419","0.00%","9.66","0.37","1.77","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$48,567,507,000","0.85%","28.13","3.02","1.89","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$48,428,920,000","1.02%","23.61","7.89","19.48","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$48,117,914,910","0.00%","19.53","3.08","-14.99","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$47,874,506,165","1.16%","13.37","2.64","7.30","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$47,654,977,339","2.59%","20.35","2.56","4.65","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$47,602,299,630","2.96%","48.35","3.55","8.30","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$47,022,993,331","1.14%","8.82","1.91","3.03","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$46,816,830,868","4.12%","37.99","1.82","0.94","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$46,320,485,247","1.28%","90.12","5.25","3.32","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$46,204,629,224","0.00%","84.35","10.53","49.37","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$45,980,167,200","0.00%","205.44","17.88","19.87","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$45,915,634,014","1.80%","24.15","2.65","2.32","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$45,685,407,836","1.04%","26.19","3.99","6.88","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$45,517,092,266","1.38%","14.15","5.26","10.92","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$45,492,351,413","3.48%","17.34","2.66","827.03","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$44,879,529,622","0.00%","27.59","8.38","7.26","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$44,523,196,032","0.00%","42.34","9.36","7.68","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$44,488,341,618","0.00%","56.77","12.40","166.36","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$44,367,816,030","0.96%","60.77","5.62","6.97","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$43,857,248,992","0.60%","14.62","7.20","3.11","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$43,488,815,481","0.93%","34.56","5.71","12.67","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$43,396,949,281","2.22%","4.50","0.82","0.78","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$42,834,040,620","1.96%","10.86","1.21","1.67","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$42,623,407,894","2.26%","41.18","0.65","31.16","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$42,548,895,190","1.89%","29.97","9.46","12.40","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$42,218,339,895","2.27%","10.26","1.98","1.41","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$41,967,141,889","3.67%","23.49","2.12","58.41","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$41,709,155,907","0.59%","33.03","6.47","7.72","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$41,453,002,784","1.42%","30.92","3.55","4.63","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$41,402,513,880","0.00%","52.66","13.13","14.20","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$41,164,168,896","2.39%","7.85","0.45","1.64","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$41,093,718,362","0.00%","183.56","7.84","6.96","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$40,998,815,375","5.91%","38.91","2.61","1.32","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$40,995,570,780","2.23%","3.43","1.30","0.67","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$40,964,041,625","0.00%","56.40","5.23","18.08","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$40,747,756,960","1.42%","33.78","3.11","5.29","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$40,741,283,848","4.95%","27.51","3.73","3.57","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$40,706,391,343","0.00%","243.09","26.75","121.60","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$40,634,766,144","1.29%","31.42","4.90","-126.10","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$40,326,153,176","0.00%","27.84","3.73","3.59","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$39,950,997,226","2.37%","33.68","1.62","2.52","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$39,875,577,821","2.03%","25.06","3.43","5.84","Analyze"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$39,480,922,210","1.71%","14.45","2.55","3.46","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$39,432,000,000","4.41%","7.85","0.59","0.86","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$39,421,173,120","1.07%","40.90","4.66","4.38","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$38,892,103,416","0.00%","35.09","2.77","6.40","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$38,859,657,291","0.00%","39.88","12.31","8.96","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$38,003,111,619","3.28%","13.98","1.20","1.54","Analyze"
"PCG","Pacific Gas & Electric Co.","Common stocks","Large cap","Utilities","$37,745,942,664","0.00%","148.12","1.74","1.75","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$37,586,734,673","0.93%","47.62","17.69","-41.03","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$37,425,430,616","4.68%","80.10","15.31","1.45","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$37,265,719,463","5.79%","16.55","7.20","11.32","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$37,117,469,620","1.62%","21.72","2.37","4.10","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$37,026,117,434","1.62%","26.36","2.56","6.37","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$36,170,787,714","0.22%","47.61","5.45","-49.79","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$36,063,675,886","2.88%","22.08","2.64","2.27","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$35,408,912,906","0.00%","24.60","1.35","4.53","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$35,210,140,201","1.48%","4.22","0.88","2.22","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$35,108,783,188","0.57%","44.62","5.02","4.62","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$34,919,728,460","1.56%","21.10","3.74","11.69","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$34,782,806,084","2.38%","16.86","1.43","3.89","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$34,452,914,213","1.69%","25.55","5.05","5.57","Analyze"
